genre_id,genre_name
1,Nonfiction
2,Leadership
3,Business
4,"Self Help"
5,"Personal Development"
6,Psychology
7,Management
8,Education
9,Philosophy
10,Productivity
11,History
12,"Personnel management"
13,War
14,Politics
15,"Military Fiction"
16,"Military History"
17,Economics
18,Communication
19,Design
20,Audiobook
21,Entrepreneurship
22,Finance
23,"social sciences"
24,ethics
25,"socio-ecological crises"
26,"political philosophy"
27,Sociology
28,"German Literature"
29,Psychoanalysis
30,Classics
31,Science
32,Relationships
33,"How To"
34,Reference
35,"Artificial Intelligence"
36,Technology
37,Futurism
38,"Computer Science"
39,Physics
40,Social
41,"International Relations"
42,"Political Science"
43,"World History"
44,"American History"
45,Informatics
46,Software
47,Microsoft
48,Medicine
49,Medical
50,Textbooks
51,Health
52,Biology
53,School
54,Anatomy
55,Anaesthesia
56,Odontology
57,Nursing
58,"Operating room"
59,Biochemistry
60,"Migration studies"
61,Healthcare
62,"Preventive Medicine"
63,"Perioperative Nursing"
64,Languages
65,French
66,German
67,Chemistry
68,"Operating Room"
69,Economy
70,"Political Economy"
71,Statistics
72,"Oral Microbiology"
73,Dentistry
74,"Sociology of Health"
75,Mathematics
76,"Popular Science"
77,"Internal Medicine"
78,"Computational Chemistry"
79,Academic
80,"Social Science"
81,Evolution
82,Nature
83,"Quantum Mechanics"
84,Astronomy
85,Space
86,Engineering
87,"Science 
Textbooks"
88,"Academic 
School"
89,Society
90,Cultural
91,Genomics
92,Socialism
93,"II República"
94,Spain
95,"Spanish Literature"
96,"Historical
 Memoir"
97,"Latin American"
98,Biography
99,"Roman Empire"
100,Fiction
101,France
102,Roman
103,Literature
104,Novels
105,"Historical Fiction"
106,Anthropology
107,"Sociology of Education"
108,"Political Theory"
109,"Games Theory"
110,Theory
111,"Class Conflict"
112,Marxism
113,"Social Conflict Theory"
114,"Social Class"
115,Essays
116,Italy
117,"Italian Literature"
118,"European Literature"
119,Manual
120,Essai
121,"Political theory"
122,Government
123,Maths
124,"World Atlas"
125,Dictionary
126,Language
127,Russia
128,"Russian Literature"
129,Crime
130,"19th Century"
131,Mystery
132,"Mystery Thriller"
133,Detective
134,"British Literature"
135,Thriller
136,"Murder Mystery"
137,Suspense
138,Pharmacology
,"Essai Political Theory"
,"20th Century"
,Criticism
,Activism
,"Political Analysis"
,Lenin
,""
,Humanities
,Unionism
,"European History"
,Unfinished
,College
,Law
,"Constitutional Law"
,Self-Help
,Historical
,Adult
,Religion
,Theology
,Christianity
,Love
,Bioinformatics
,"Mental Health"
,"Disability Studies"
,Spirituality
,Linguistics
,"Latin American History"
,Germany
,"Historical Mystery"
,"Ancient History"
,Greece
,Ancient
,Mythology
,Poetry
,Literature.
,Non-fiction
,"French Literature"
,"17th Century"
,Atheism
,Memoir
,Holocaust
,Autobiography
,"World War II"
,Judaism
,Medieval
,"Ancient Greece"
,Writing
,India
,Race
,"African American"
,Theatre
,Drama
,Plays
,Adventure
,Fantasy
,"Read For School"
,"Greek Mythology"
,Life
,Christian
,Faith
,"Christian Non Fiction"
,Programming
,Technical
,Coding
,"Legal Thriller"
,"Adult Fiction"
,n
,cccc
,"Business Management"
,"Emotional Intelligence"
,SElf-Help
,Historia
,"Sociology; Public Policy"
,Cuisine
,"Policital Science"
,Essai.
,"Political Philosophy"
,Psychoanalyse
,"Tourism; Geography"
,"War; History"
,"Essai; Sociology; Health"
,"Science; Sociology"
,Psychology;
,"Essai; Sociology; Economics; History"
,Sociologie
,"Science Fiction"
,"Fiction; History"
,"Filosofía"
,Python
,"Sociology; Philosophy"
,Tourism
,FIction
,"Sociology; Nursing"
,"Sociology; Religion"
